Designator,Mid X,Mid Y,Rotation,Layer
C1,103.6415,-70.4875,0.0,top
C10,125.73,-64.008,90.0,top
C11,124.46,-66.5988,180.0,top
C12,124.4687,-65.6336,180.0,top
C13,126.8,-72.0,0.0,top
C14,121.33,-79.41,270.0,top
C15,110.4625,-77.6,180.0,top
C2,134.3,-71.41,270.0,top
C3,108.05,-70.4875,0.0,top
C4,111.7,-67.3,0.0,top
C5,110.876,-71.4,270.0,top
C6,112.4,-71.4,270.0,top
C7,132.4356,-64.6176,90.0,top
C8,131.3688,-64.6176,90.0,top
C9,124.714,-64.008,90.0,top
D1,134.775,-64.575,90.0,top
D2,116.2,-64.02,180.0,top
D3,128.505,-63.754,180.0,top
D4,114.25,-77.0625,90.0,top
D5,117.6,-77.074,90.0,top
D6,103.5,-77.1,90.0,top
D7,106.7,-77.05,90.0,top
H1,90.0,-63.5,0.0,top
H2,137.9,-76.6,0.0,top
H3,96.8502,-83.1088,0.0,top
R1,92.8,-81.788,0.0,top
R10,102.1,-76.4,270.0,top
R2,90.0,-83.312,0.0,top
R3,89.4,-81.788,0.0,top
R4,138.6,-73.5,180.0,top
R5,90.1,-67.25,270.0,top
R6,91.1,-67.0,270.0,top
R7,119.9915,-76.708,180.0,top
R8,112.88,-76.75,270.0,top
R9,108.0,-76.3,270.0,top
SIM1,93.8276,-74.5,270.0,top
U1,106.282,-67.0535,180.0,top
U2,128.2954,-67.4132,0.0,top
USB1,138.5,-68.025,90.0,top
USB2,128.678,-78.805,0.0,top
USB3,115.822,-81.44,0.0,top
USB4,104.982,-81.44,0.0,top
